Date,Sheet A,Sheet B,Sheet C,Sheet D,Food
Week 1 (1/5),Hammer Time v Sheety Ice,Bah-tez v Drawing a Blank,House Money v Curler Me Badd,SheetTalkers v Guards are Hard,Sheety Ice
Week 2 (1/12),Hammer Time v Drawing a Blank,Bah-tez v Curler Me Badd,House Money v Guard are Hard,SheetTalkers v Sheety Ice,Curler Me Badd
Week 3 (1/19),House Money v Sheety Ice,SheetTalkers v Drawing a Blank,Hammer Time v Curler Me Badd,Bah-tez v Guards are Hard,Hammer Time
Week 4 (1/26),SheetTalkers v Curler Me Badd,Hammer Time v Guards are Hard,Bah-tez v Sheety Ice,House Money v Drawing a Blank,Bah-tez
Super Bowl Weekend,OFF,OFF,OFF,OFF,OFF
Week 5 (2/9),Curler Me Badd v Guards are Hard,House Money v SheetTalkers,Sheety Ice v Drawing a Blank,Hammer Time v Bah-tez,Drawing A Blank
Week 6 (2/16),Bah-tez v SheetTalkers,Hammer Time v House Money,Drawing a Blank v Guards are Hard,Sheety Ice v Curler Me Badd,SheetTalkers
Week 7 (2/23),Bah-tez v House Money,Sheety Ice v Guards are Hard,Hammer Time v SheetTalkers,Drawing a Blank v Curler Me Badd,House Money
Week 8 (3/1),7th vs 8th Place,1st vs 2nd Place,3rd vs 4th Place,5th vs 6th Place,Guards are Hard
